id,uri,directed
0,/r/Antonym,0
1,/r/AtLocation,1
2,/r/CapableOf,1
3,/r/Causes,1
4,/r/CausesDesire,1
5,/r/CreatedBy,1
6,/r/DefinedAs,1
7,/r/DerivedFrom,1
8,/r/Desires,1
9,/r/DistinctFrom,0
10,/r/Entails,1
11,/r/EtymologicallyDerivedFrom,1
12,/r/EtymologicallyRelatedTo,0
13,/r/ExternalURL,1
14,/r/FormOf,1
15,/r/HasA,1
16,/r/HasContext,1
17,/r/HasFirstSubevent,1
18,/r/HasLastSubevent,1
19,/r/HasPrerequisite,1
20,/r/HasProperty,1
21,/r/HasSubevent,1
22,/r/InstanceOf,1
23,/r/IsA,1
24,/r/LocatedNear,1
25,/r/MadeOf,1
26,/r/MannerOf,1
27,/r/MotivatedByGoal,1
28,/r/NotCapableOf,1
29,/r/NotDesires,1
30,/r/NotHasProperty,1
31,/r/NotUsedFor,1
32,/r/ObstructedBy,1
33,/r/PartOf,1
34,/r/ReceivesAction,1
35,/r/RelatedTo,0
36,/r/SimilarTo,0
37,/r/SymbolOf,1
38,/r/Synonym,0
39,/r/UsedFor,1
40,/r/dbpedia/capital,1
41,/r/dbpedia/field,1
42,/r/dbpedia/genre,1
43,/r/dbpedia/genus,1
44,/r/dbpedia/influencedBy,1
45,/r/dbpedia/knownFor,1
46,/r/dbpedia/language,1
47,/r/dbpedia/leader,1
48,/r/dbpedia/occupation,1
49,/r/dbpedia/product,1
